Genus	Count
[Bacteroides] pectinophilus	1
[Clostridium] fimetarium	1
[Clostridium] hylemonae	1
[Clostridium] innocuum	1
[Clostridium] leptum	1
[Clostridium] methoxybenzovorans	1
[Clostridium] methylpentosum	1
[Clostridium] polysaccharolyticum	1
[Clostridium] saccharogumia	1
[Clostridium] scindens	1
[Clostridium] spiroforme	1
[Clostridium] sporosphaeroides	1
[Clostridium] symbiosum	3
[Clostridium] viride	1
[Enterobacter] lignolyticus	1
[Eubacterium] brachy	1
[Eubacterium] cellulosolvens	2
[Eubacterium] infirmum	1
[Eubacterium] rectale	3
[Eubacterium] saphenum	1
[Eubacterium] siraeum	3
[Eubacterium] sulci	1
[Eubacterium] yurii	1
[Pseudomonas] hibiscicola	1
[Ruminococcus] gnavus	1
[Ruminococcus] lactaris	1
[Ruminococcus] torques	2
Abiotrophia defectiva	1
Acaricomes phytoseiuli	1
Acaryochloris marina	1
Acetanaerobacterium elongatum	1
Acetatifactor muris	1
Acetivibrio cellulolyticus	1
Acetivibrio clariflavus	1
Acetivibrio ethanolgignens	1
Acetivibrio thermocellus	4
Acetoanaerobium sticklandii	1
Acetobacterium wieringae	1
Acetonema longum	1
Achromobacter insuavis	1
Achromobacter xylosoxidans	7
Acidaminobacter hydrogenoformans	1
Acidaminococcus fermentans	1
Acidaminococcus intestini	1
Acidaminococcus massiliensis	1
Acidaminococcus sp. BV3L6	1
Acidaminococcus sp. D21	1
Acidaminococcus sp. HPA0509	1
Acidipropionibacterium acidipropionici	1
Acidipropionibacterium jensenii	1
Acidobacterium ailaaui	1
Acidobacterium capsulatum	1
Acidovorax caeni	1
Acinetobacter baumannii	156
Acinetobacter calcoaceticus	9
Acinetobacter guillouiae	4
Acinetobacter haemolyticus	5
Acinetobacter johnsonii	3
Acinetobacter junii	4
Acinetobacter lwoffii	8
Acinetobacter nosocomialis	3
Acinetobacter pittii	10
Acinetobacter radioresistens	6
Acinetobacter sp. ATCC 27244	1
Acinetobacter sp. OIFC021	1
Acinetobacter sp. SH024	1
Acinetobacter sp. WC-141	1
Acinetobacter sp. WC-323	1
Actinobacillus pleuropneumoniae	14
Actinomyces bowdenii	1
Actinomyces gerencseriae	1
Actinomyces graevenitzii	1
Actinomyces hongkongensis	1
Actinomyces ihuae	1
Actinomyces israelii	1
Actinomyces johnsonii	2
Actinomyces massiliensis	2
Actinomyces naeslundii	2
Actinomyces oris	2
Actinomyces polynesiensis	1
Actinomyces sp. HPA0247	1
Actinomyces sp. ICM39	1
Actinomyces sp. ICM47	1
Actinomyces sp. ph3	1
Actinomyces timonensis	1
Actinomyces urogenitalis	2
Actinomyces viscosus	1
Acutalibacter muris	1
Adlercreutiza muris	1
Adlercreutzia caecimuris	1
Adlercreutzia equolifaciens	2
Adlercreutzia mucosicola	1
Advenella mimigardefordensis	1
Aerococcus christensenii	1
Aerococcus viridans	2
Aeromicrobium massiliense	1
Aeromonas caviae	3
Aeromonas hydrophila	12
Aeromonas jandaei	1
Aeromonas media	2
Aeromonas veronii	7
Afipia birgiae	1
Agathobaculum desmolans	1
Aggregatibacter aphrophilus	4
Aggregatibacter segnis	2
Agrobacterium fabrum	1
Agrobacterium tumefaciens	3
Akkermansia muciniphila	2
Akkermansia sp. KLE1797	1
Akkermansia sp. KLE1798	1
Alcaligenes faecalis	4
Aliarcobacter butzleri	4
Aliivibrio fischeri	2
Aliivibrio salmonicida	1
Alistipes communis	1
Alistipes finegoldii	1
Alistipes ihumii	1
Alistipes indistinctus	2
Alistipes nov. ERR2221210	1
Alistipes nov. ERR2221392	1
Alistipes onderdonkii	8
Alistipes provencensis	1
Alistipes putredinis	1
Alistipes senegalensis	1
Alistipes shahii	4
Alistipes sp. AL-1	1
Alistipes sp. cv1 ERR1022444	1
Alistipes sp. HGB5	1
Alistipes timonensis	2
Alkalibaculum bacchi	1
Alkalihalobacillus clausii	1
Alkalihalobacillus halodurans	1
Alkalihalophilus pseudofirmus	1
Alkaliphilus transvaalensis	1
Allobaculum stercoricanis	1
Alloiococcus otitis	1
Alloprevotella rava	1
Alloprevotella sp. oral taxon 473	1
Alloprevotella tannerae	1
Alloscardovia omnicolens	3
Amedibacillus dolichus	1
Aminivibrio pyruvatiphilus	1
Anaerobacillus macyae	1
Anaerobaculum hydrogeniformans	1
Anaerobiospirillum succiniciproducens	1
Anaerobutyricum hallii	1
Anaerobutyricum soehngenii	1
Anaerococcus hydrogenalis	2
Anaerococcus jeddahensis	1
Anaerococcus lactolyticus	2
Anaerococcus obesiensis	1
Anaerococcus prevotii	2
Anaerococcus rubeinfantis	1
Anaerococcus senegalensis	1
Anaerococcus tetradius	2
Anaerococcus vaginalis	1
Anaerofustis stercorihominis	1
Anaeroglobus geminatus	1
Anaeroplasma bactoclasticum	1
Anaerosalibacter bizertensis	1
Anaerosalibacter massiliensis	1
Anaerosporobacter mobilis	1
Anaerostipes caccae	5
Anaerostipes hadrus	9
Anaerostipes nov. ERR2221209	1
Anaerostipes sp. 3_2_56FAA	1
Anaerotignum lactatifermentans	1
Anaerotignum propionicum	1
Anaerotruncus colihominis	4
Anaerotruncus nov. ERR2221396	1
Anaerotruncus sp. G3(2012)	1
Anaerovorax odorimutans	1
Aneurinibacillus aneurinilyticus	1
Apilactobacillus kunkeei	3
Arachnia propionica	1
Arcanobacterium haemolyticum	1
Ardenticatena maritima	1
Arthrobacter castelli	1
Atlantibacter hermannii	1
Atopobium minutum	1
Atopobium vaginae	1
Auritidibacter ignavus	1
Azospira oryzae	1
Bacillus altitudinis	1
Bacillus amyloliquefaciens	6
Bacillus andreraoultii	1
Bacillus atrophaeus	16
Bacillus cereus	145
Bacillus cytotoxicus	1
Bacillus infantis	1
Bacillus kwashiorkori	1
Bacillus licheniformis	6
Bacillus massilioanorexius	1
Bacillus megaterium	1
Bacillus mojavensis	2
Bacillus mycoides	4
Bacillus nov. ERR2221302	1
Bacillus paralicheniformis	1
Bacillus pseudomycoides	1
Bacillus pumilus	4
Bacillus rubiinfantis	1
Bacillus simplex	1
Bacillus smithii	1
Bacillus sonorensis	1
Bacillus sp. 7_6_55CFAA_CT2	1
Bacillus sp. B-jedd	1
Bacillus spizizenii	4
Bacillus subtilis	14
Bacillus testis	1
Bacillus thermoamylovorans	1
Bacillus thuringiensis	25
Bacillus timonensis	1
Bacillus vallismortis	1
Bacillus velezensis	4
bacterium LF-3	1
bacterium MS4	1
bacterium OL-1	1
Bacteroidales nov. ERR2221200	1
Bacteroides acidifaciens	5
Bacteroides caccae	6
Bacteroides caecimuris	1
Bacteroides cellulosilyticus	8
Bacteroides clarus	4
Bacteroides coprosuis	1
Bacteroides dorei	2
Bacteroides eggerthii	2
Bacteroides faecis	5
Bacteroides finegoldii	4
Bacteroides fluxus	1
Bacteroides fragilis	25
Bacteroides gallinarum	1
Bacteroides graminisolvens	1
Bacteroides helcogenes	1
Bacteroides intestinalis	2
Bacteroides luti	1
Bacteroides neonati	1
Bacteroides nordii	2
Bacteroides nov. ERR1022359	1
Bacteroides nov. ERR1022361	1
Bacteroides nov. ERR1022456	1
Bacteroides nov. ERR2221137	1
Bacteroides nov. ERR2221300	1
Bacteroides nov. ERR2221375	1
Bacteroides nov. ERR2221405	1
Bacteroides oleiciplenus	1
Bacteroides ovatus	9
Bacteroides propionicifaciens	1
Bacteroides pyogenes	4
Bacteroides rodentium	1
Bacteroides salyersiae	3
Bacteroides sp. 1_1_14	1
Bacteroides sp. 1_1_30	1
Bacteroides sp. 14(A)	1
Bacteroides sp. 2_1_22	1
Bacteroides sp. 2_1_33B	1
Bacteroides sp. 2_2_4	1
Bacteroides sp. 3_1_19	1
Bacteroides sp. 3_1_23	1
Bacteroides sp. 3_1_33FAA	1
Bacteroides sp. 3_1_40A	1
Bacteroides sp. 3_2_5	1
Bacteroides sp. 4_1_36	1
Bacteroides sp. 4_3_47FAA	1
Bacteroides sp. 9_1_42FAA	1
Bacteroides sp. D1	1
Bacteroides sp. D2	1
Bacteroides sp. D20	1
Bacteroides sp. D22	1
Bacteroides sp. HPS0048	1
Bacteroides stercoris	10
Bacteroides thetaiotaomicron	12
Bacteroides timonensis	1
Bacteroides uniformis	24
Bacteroides vulgatus	21
